0	81	135	7
2	67	213	8
4	66	166	6
1	64	222	9
11	57	278	10
8	57	57	5
5	57	113	6
13	51	163	8
12	49	241	9
19	48	61	4
14	46	125	6
15	45	140	7
22	43	80	4
38	43	108	5
56	42	143	7
9	41	136	6
16	41	61	4
23	39	81	5
33	38	64	4
25	38	233	9
84	37	61	4
103	37	153	6
20	36	138	7
57	36	55	5
3	36	160	8
58	35	149	7
121	35	25	2
17	33	266	9
10	32	195	7
59	32	97	7
69	32	183	7
60	32	59	4
47	32	30	2
7	31	184	8
104	30	50	4
48	30	243	10
36	30	135	8
29	30	158	7
40	30	56	4
46	30	106	6
85	30	45	4
52	29	275	7
34	29	32	3
162	28	32	3
30	28	55	5
41	27	4	1
39	27	24	3
114	27	126	3
64	27	85	5
31	27	23	3
210	26	41	3
21	26	82	5
74	26	56	4
18	26	66	4
67	26	16	2
24	26	69	4
97	25	60	5
98	25	66	5
86	25	112	5
241	25	24	3
115	25	18	2
49	25	192	9
173	24	43	4
151	24	35	4
174	24	68	5
44	24	48	4
42	24	103	5
89	24	77	5
99	23	23	3
90	23	102	4
226	23	56	5
26	23	34	3
242	23	21	3
140	23	8	2
183	23	56	5
184	22	41	4
480	22	158	7
122	22	64	4
76	22	67	4
100	21	22	3
37	21	122	6
50	21	109	6
45	21	44	3
70	21	38	4
123	21	17	2
131	21	23	3
75	21	14	2
345	21	34	3
243	21	43	4
91	21	29	4
185	20	67	5
101	20	5	1
87	20	12	2
175	20	48	5
116	20	58	4
141	20	55	4
92	20	48	3
163	20	33	3
65	20	16	2
211	19	173	7
79	19	21	3
71	19	27	2
212	19	54	4
367	19	36	3
53	19	38	4
152	19	79	5
153	19	64	5
288	19	29	3
105	18	69	4
176	18	57	5
213	18	37	4
442	18	121	4
142	18	76	5
289	18	51	3
143	18	20	3
106	18	34	5
54	18	63	3
35	18	37	4
214	18	12	2
368	18	12	3
177	18	41	4
186	18	31	4
107	18	11	2
32	18	115	6
80	18	2	1
144	18	34	3
68	17	38	4
72	17	74	5
6	17	48	4
227	17	26	4
481	17	110	5
63	17	52	5
563	17	61	3
124	17	36	4
228	17	20	2
310	17	138	4
823	17	60	5
27	17	26	3
311	17	30	2
132	17	20	3
93	17	20	3
51	17	28	3
229	17	6	1
43	17	99	5
125	17	28	3
369	17	13	2
187	17	13	2
73	17	16	1
200	17	12	2
482	17	86	3
81	17	15	2
133	17	13	2
244	16	19	2
145	16	58	5
178	16	6	1
146	16	15	3
108	16	66	4
524	16	2	1
201	16	22	3
109	16	17	3
230	16	61	4
117	16	183	7
164	16	44	4
245	16	27	2
215	16	1	1
126	15	21	3
147	15	25	2
165	15	4	1
346	15	48	5
77	15	55	5
312	15	55	4
443	15	42	3
166	15	8	1
737	15	82	6
402	15	9	2
28	15	30	3
370	15	10	2
564	15	16	2
154	15	17	2
738	15	44	4
565	15	29	3
290	15	12	2
525	15	30	3
526	15	101	6
118	15	13	3
94	15	10	2
444	15	19	2
188	15	12	2
483	15	8	2
371	15	27	4
216	14	17	3
61	14	23	3
78	14	10	2
484	14	13	2
527	14	6	1
485	14	47	3
403	14	81	5
246	14	52	5
119	14	40	4
566	14	37	3
134	14	11	2
528	14	10	2
231	14	33	3
291	14	78	3
82	14	82	3
292	14	24	3
739	14	32	3
529	14	6	2
313	14	25	3
189	14	50	4
190	14	45	3
217	14	29	3
191	14	22	2
740	14	91	6
148	14	21	3
127	13	13	1
404	13	60	4
405	13	9	2
218	13	30	2
247	13	75	5
1007	13	29	3
66	13	53	5
406	13	86	5
314	13	47	3
95	13	28	4
638	13	8	1
639	13	141	4
372	13	38	4
135	13	0	0
62	13	66	5
1155	13	10	2
167	13	42	4
640	13	24	3
1008	13	8	2
910	13	21	2
149	13	16	2
567	13	8	2
407	13	53	4
568	13	3	1
315	13	59	5
569	12	31	4
741	12	8	2
824	12	19	2
136	12	10	2
248	12	32	4
128	12	11	2
347	12	48	5
1009	12	13	2
641	12	26	3
825	12	11	3
530	12	27	3
1010	12	61	6
408	12	5	1
826	12	12	2
179	12	77	6
642	12	24	4
249	12	17	2
293	12	29	3
445	12	15	2
110	12	25	3
446	12	7	2
1011	12	11	2
911	12	20	3
1156	12	13	2
570	12	30	4
486	12	4	1
250	12	18	2
348	12	2	1
643	12	32	4
827	11	122	7
1724	11	23	2
373	11	17	3
374	11	23	3
571	11	3	1
375	11	10	2
742	11	6	1
219	11	4	2
487	11	106	4
232	11	24	3
155	11	25	2
1288	11	51	4
572	11	141	7
233	11	34	3
294	11	4	1
295	11	8	2
296	11	25	3
912	11	42	4
376	11	23	3
488	11	4	1
409	11	6	1
573	11	10	2
220	11	5	1
102	11	44	2
410	11	76	4
574	11	21	3
202	11	4	1
349	11	23	3
828	11	20	3
644	11	16	2
743	11	24	3
350	11	18	2
913	11	57	3
914	11	6	1
83	11	11	2
192	11	54	3
351	11	30	3
744	11	38	4
251	11	20	3
316	11	9	2
447	11	7	1
352	11	20	2
377	11	21	3
234	11	15	3
168	11	37	3
297	11	42	3
575	11	44	3
411	11	5	1
235	10	9	2
448	10	5	1
111	10	15	2
1489	10	23	2
745	10	17	2
1289	10	15	2
449	10	22	3
576	10	25	3
450	10	9	1
412	10	2	1
531	10	9	2
915	10	21	2
203	10	11	2
193	10	17	2
489	10	31	3
577	10	7	2
378	10	18	3
298	10	1	1
746	10	10	2
747	10	14	2
451	10	75	3
1012	10	31	3
204	10	5	2
169	10	15	2
55	10	4	2
645	10	89	4
317	10	101	5
490	10	11	1
532	10	50	4
491	10	6	1
578	10	10	2
236	10	11	2
492	10	16	2
137	10	62	3
829	10	5	1
299	10	30	4
1013	10	39	3
413	10	11	2
1725	10	8	2
579	10	28	3
580	10	45	5
493	10	14	2
1014	10	27	3
494	10	27	3
252	10	6	1
353	10	22	3
205	10	13	2
253	10	16	3
379	10	39	3
1490	10	11	2
354	10	24	3
1726	10	4	1
380	10	91	4
830	10	15	2
916	10	13	2
156	10	12	2
495	10	40	4
254	10	30	3
414	10	18	3
1015	10	12	2
496	10	15	2
415	10	14	2
237	10	11	2
255	10	11	2
381	10	11	2
416	10	23	3
646	10	7	2
831	9	9	2
1727	9	7	2
256	9	5	1
917	9	9	2
1290	9	30	4
497	9	4	1
257	9	13	2
1491	9	2	1
120	9	22	2
1016	9	4	1
2018	9	20	2
157	9	28	3
112	9	28	3
581	9	1	1
832	9	1	1
748	9	3	1
749	9	11	1
1291	9	3	1
88	9	19	2
258	9	8	2
2958	9	7	1
1492	9	15	3
300	9	20	3
382	9	2	1
259	9	38	4
918	9	6	2
355	9	7	1
647	9	27	3
1157	9	13	2
582	9	3	1
533	9	10	2
750	9	0	0
417	9	14	2
1493	9	3	1
301	9	24	2
452	9	8	2
751	9	7	2
752	9	11	2
498	9	2	1
453	9	8	2
170	9	14	2
206	9	32	2
1292	9	10	2
499	9	2	1
648	9	46	3
583	9	36	4
418	9	6	1
919	9	5	1
1728	9	6	1
356	9	36	3
649	9	11	2
500	9	28	4
419	9	9	2
1158	9	11	2
1159	9	6	1
357	9	9	2
920	8	6	2
753	8	31	3
171	8	31	3
1017	8	36	4
1018	8	12	2
358	8	1	1
501	8	6	1
754	8	6	2
1494	8	15	2
2422	8	34	3
921	8	3	1
359	8	17	2
1293	8	0	0
650	8	18	2
651	8	5	1
584	8	12	2
194	8	1	1
585	8	4	1
755	8	9	2
652	8	15	2
302	8	4	2
303	8	28	3
922	8	0	0
1729	8	12	2
1160	8	7	2
534	8	16	3
454	8	6	1
3683	8	3	1
113	8	28	3
756	8	13	2
195	8	11	1
923	8	0	0
1019	8	32	3
455	8	3	1
1495	8	7	1
196	8	0	0
1161	8	16	2
535	8	7	2
1496	8	15	2
1497	8	4	1
318	8	9	2
1020	8	7	1
260	8	2	1
1021	8	2	1
536	8	44	4
757	8	30	3
833	8	56	4
586	8	30	3
1498	8	31	3
1294	8	7	1
758	8	5	1
834	8	29	4
304	8	5	2
924	8	11	2
1162	8	6	2
653	8	9	1
1163	8	10	2
1164	8	3	1
654	8	11	2
925	8	13	2
319	8	4	1
587	8	4	1
1730	8	10	2
2019	8	9	2
926	8	8	2
835	8	10	1
759	8	10	2
1022	8	12	2
1295	8	25	2
537	8	10	1
1731	8	9	2
927	8	3	1
1296	8	16	3
320	8	4	1
836	8	7	1
837	8	12	2
928	8	14	2
456	8	11	2
383	8	2	1
305	8	1	1
1165	8	33	2
1023	8	17	2
538	8	14	2
3684	8	3	1
1024	8	2	1
457	8	11	2
588	8	2	1
1297	8	1	1
838	8	2	1
1732	8	5	1
502	8	13	2
655	8	71	4
2020	8	13	3
839	8	24	3
158	8	20	2
1025	8	37	4
1733	8	16	2
420	8	2	1
840	8	1	1
421	8	2	1
929	7	5	1
172	7	15	3
1499	7	7	2
261	7	10	2
2021	7	1	1
539	7	3	1
503	7	14	1
2423	7	14	3
760	7	3	1
930	7	2	1
540	7	7	1
1026	7	21	2
1298	7	0	0
1500	7	20	2
504	7	1	1
931	7	8	1
1299	7	12	1
384	7	8	1
1027	7	3	1
1028	7	4	1
761	7	11	2
541	7	11	2
1166	7	8	2
542	7	16	2
1300	7	16	2
385	7	6	1
543	7	1	1
505	7	21	3
932	7	22	2
762	7	35	3
1501	7	5	2
1734	7	6	1
321	7	2	1
933	7	9	2
841	7	14	2
544	7	4	1
422	7	17	2
458	7	6	2
1029	7	0	0
459	7	0	0
1735	7	11	1
2022	7	1	1
3685	7	4	1
1301	7	5	2
1736	7	4	1
138	7	42	4
589	7	5	2
590	7	22	2
386	7	7	2
506	7	1	1
842	7	2	1
2424	7	18	2
1302	7	23	2
1030	7	4	1
197	7	46	4
1303	7	16	3
2959	7	8	1
1304	7	16	2
