2464	0.184
13218	0.12
17121	0.07
19943	0.128
1972	0.051
8487	0.29
10168	0.066
8115	0.11
17122	0.239
9707	0.167
23680	0.037
1409	0.283
12460	0.208
19944	0.183
11820	0.432
5146	0.114
8488	0.28
2899	0.085
8116	0.031
2398	0.143
25887	0.2
14941	0.104
23681	0.331
10169	0.086
9275	0.287
4810	0.531
3079	0.321
3459	0.084
11227	0.139
4811	0.192
21707	0.165
13219	0.164
19945	0.73
7800	0.308
11821	0.076
14942	0.548
21708	0.03
2273	0.085
10170	0.172
21709	0.184
25888	0.095
17123	0.215
7233	0.262
18467	0.294
17124	0.126
14943	0.071
14026	0.057
19946	0.073
25889	0.017
4301	0.3
1715	0.157
14027	0.227
21710	0.044
12461	0.123
21711	0.124
11228	0.133
12462	0.201
8489	0.129
9276	0.143
14944	0.096
23682	0.101
2666	0.148
19947	0.165
8117	0.053
19948	0.213
14945	0.137
23683	0.141
19949	0.217
15970	0.337
19950	0.176
5958	0.081
2995	0.162
25890	0.057
8118	0.062
25891	0.034
476	0.164
10665	0.151
25892	0.115
23684	0.18
21712	0.078
13220	0.062
5147	1.0
7801	0.459
6188	0.191
3648	0.536
21713	0.3
4302	0.207
17125	0.046
15971	0.084
10171	0.13
4303	0.137
1798	0.037
13221	0.1
23685	0.065
21714	0.134
7802	0.13
25893	0.875
25894	0.166
19951	0.185
11229	0.137
8119	0.157
6966	0.074
946	0.073
11230	0.066
12463	0.096
11231	0.121
21715	0.124
11232	0.606
2667	0.165
1128	0.064
15972	0.162
6666	0.058
2668	0.107
19952	0.1
2996	0.101
25895	0.051
21716	0.136
25896	0.072
10666	0.138
13222	0.097
17126	0.179
14028	0.069
15973	0.11
8120	0.125
19953	0.055
23686	0.061
25897	0.272
14029	0.216
14946	0.312
12464	0.06
4962	0.184
8490	0.065
21717	0.147
18468	0.081
23687	0.102
8880	0.076
2669	0.069
15974	0.307
7803	0.191
23688	1.0
11822	0.08
21718	0.207
23689	0.137
25898	0.129
2804	0.25
10172	0.204
17127	0.242
10667	0.319
17128	0.137
6189	0.241
3886	0.07
2336	0.856
7234	0.146
21719	0.226
19954	0.138
14947	0.061
21720	0.106
5718	0.137
13223	0.169
9708	0.109
19955	0.244
25899	0.082
7235	0.125
10173	0.137
19956	0.111
5148	0.193
11823	0.063
11233	0.169
21721	0.09
21722	0.059
19957	0.17
15975	0.194
14948	0.123
19958	0.062
14030	0.106
13224	0.133
14949	0.186
14950	0.065
14951	0.123
15976	0.033
3258	0.131
23690	0.123
23691	0.144
9709	0.347
11234	0.282
21723	0.097
7487	0.129
23692	0.153
1000	0.114
25900	0.06
1477	0.209
7488	0.061
19959	0.343
1925	0.195
5719	0.426
8881	0.113
6437	0.066
18469	0.085
6190	0.252
13225	0.144
23693	0.247
7489	0.188
5720	1.0
14031	0.131
9277	0.078
14952	0.035
25901	0.154
10174	0.108
19960	0.354
5332	0.076
23694	0.142
1570	0.166
21724	0.097
25902	0.117
10175	0.394
23695	0.141
243	0.155
25903	0.069
19962	0.091
19961	0.405
23696	0.127
25904	0.223
21725	0.182
14032	0.144
9710	0.216
18470	0.133
8882	0.099
1547	0.112
14033	0.112
4030	0.098
21726	0.047
11235	0.075
6191	0.067
19963	0.033
18471	0.135
14034	0.139
14953	0.052
25905	0.218
14035	0.174
17129	0.234
18472	0.044
23697	0.062
18473	0.093
18474	0.584
492	0.2
4963	0.344
13226	0.077
9278	0.348
779	0.168
18475	0.135
19964	0.112
25906	0.358
3259	0.195
25907	0.108
19965	0.059
10668	0.078
6192	0.056
1044	0.104
1845	0.046
25908	0.22
6967	0.034
25909	0.189
18476	0.438
25910	0.169
21727	0.098
5533	0.13
25911	0.097
15977	0.086
4964	0.374
11236	0.089
5959	0.141
5149	0.213
11824	0.087
23698	0.479
23699	0.128
5960	0.545
14036	0.07
17130	0.063
23700	0.089
18477	0.082
7236	0.21
7804	0.063
13227	0.103
23701	0.076
8883	0.273
18478	0.131
21728	0.037
17131	0.06
25912	0.347
4152	0.202
25913	0.044
21729	0.141
3158	0.189
2021	0.316
7490	0.133
25914	0.197
14954	0.108
12465	0.181
1101	0.325
23702	0.016
4482	0.251
25915	0.048
1082	0.099
2022	0.406
5961	0.186
6438	0.109
19966	0.212
7491	0.095
1605	0.028
799	0.399
25916	0.175
21730	0.294
19967	0.102
25917	0.074
7237	0.478
25918	0.122
21731	0.11
3260	0.192
11237	0.036
19968	0.084
8491	0.062
2465	0.103
5962	0.056
3762	0.056
25919	0.027
8884	0.152
18479	0.12
2737	0.115
23703	0.684
25920	0.133
6968	0.087
7238	0.326
56	0.129
11825	0.206
14955	0.217
15978	0.216
14956	0.143
7805	0.102
356	0.142
25921	0.692
10176	0.406
23704	0.108
1439	0.028
4965	0.076
5963	0.039
19969	0.021
12466	0.246
23705	0.159
14037	0.174
25922	0.245
25923	0.165
7806	0.082
10669	0.039
25924	0.194
6969	0.172
4153	0.346
910	0.121
23706	0.13
11238	0.137
4304	0.12
21732	0.129
19970	0.014
6193	0.04
5964	0.039
14038	0.178
25925	0.233
18480	0.121
11826	0.096
21733	0.182
7807	0.036
12467	0.195
8885	0.112
7808	0.593
3159	0.23
188	0.417
9279	0.263
17132	0.085
11239	0.178
685	0.106
18481	0.243
21734	0.048
6667	0.066
6668	0.195
15979	0.183
21735	0.184
14957	0.063
2274	0.297
13228	0.342
15980	0.122
14958	0.085
12468	0.169
5333	0.096
17133	0.088
23707	0.076
25926	0.149
6970	0.178
10177	0.058
17134	0.11
2466	0.226
14959	0.39
5721	0.258
13229	0.049
5150	0.234
18482	0.191
15981	0.047
7492	0.138
13230	0.284
9711	0.286
14960	0.227
19971	0.141
19972	0.094
14961	0.104
8886	0.237
7493	0.109
8121	0.043
3261	0.112
25927	0.095
13231	0.192
25928	0.174
4031	0.129
6971	0.169
1015	0.068
14962	0.087
21736	0.25
8492	0.183
25929	0.231
1716	0.33
11827	0.263
23708	0.948
19973	0.278
8122	0.606
11240	0.081
25930	0.023
8493	0.048
7494	0.158
14963	0.142
3649	0.044
12469	0.075
15982	0.154
21737	0.024
21738	0.142
13232	0.098
23709	0.204
14039	0.061
5722	0.1
25931	0.138
19974	0.118
14040	0.06
21739	0.063
3650	0.278
2805	0.079
2077	0.094
10670	0.117
6972	0.09
14964	0.192
23710	0.316
8887	0.167
21740	0.151
25932	0.166
17135	0.128
14041	0.04
385	0.114
175	0.064
746	0.124
19975	0.182
25933	0.067
25934	0.071
2275	0.115
25935	0.22
4032	0.113
3763	0.12
14965	0.126
21741	0.116
17136	0.242
9712	0.28
21742	0.062
21743	0.088
17137	0.066
5723	0.026
6439	0.11
3651	0.208
14042	0.397
14043	0.12
21744	0.151
10671	0.235
5965	0.292
18483	0.198
4662	0.165
13233	0.126
11828	0.065
12470	0.551
25936	0.063
2216	0.057
